"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"1Doc","","1","1","0","0","","3","0","","0","","","","",""
"2Rios Lingerie","","0","0","0","0","","0","0","","0","","","","",""
"361","","0","0","0","0","","0","0","","0","","","","",""
"3M","","0","0","0","0","","0","0","","0","","","","",""
"3W","","0","1","0","1","","0","0","","0","","","","",""
"3YZ (RS)","","0","15","77","76","agência","57","98","Porto Alegre","0","","Rio Grande do Sul","","",""
"433 ag","","1","1","0","5","","6","0","","0","","","","",""
"4All","","0","1","0","1","","0","0","","0","","","","",""
"7.22 Comunicação","","1","0","0","0","agência","2","0","","0","","","","",""
"888","","0","0","0","0","","0","0","","0","","","","",""
"99POP","","0","0","0","1","","0","0","","0","","","","",""
"9mm (SC)","","0","1","1","0","","2","0","","0","","","","",""
"A Brand","","0","0","0","0","","0","0","","0","","","","",""
"A Máquina","","1","1","0","0","agência","0","0","","0","","","","",""
"A.Yoshii","","1","1","0","0","","0","0","","0","","","","",""
"A2C (SC)","","0","2","3","5","","0","0","","0","","","","",""
"ABDO","","0","0","0","0","","0","0","","0","","","","",""
"Abicalçados","","0","0","0","0","","0","0","","0","","","","",""
"Abradif","","0","0","0","0","","0","0","","0","","","","",""
"Açaí no Ponto","","0","1","0","0","","0","1","","0","","","","",""
"Achieve Languages","","0","0","0","0","","0","0","","0","","","","",""
"Acontecendoaqui","","0","0","0","1","","1","0","","0","","","","",""
"Action Labs","","1","0","0","0","","0","0","","0","","","","",""
"Acuvue","Outros","0","0","1","0","anunciante","0","0","São Paulo","20","R$ 100 a 999 Mil","Paraná","agência","Grande",""
"Adascon imobiliária","","0","0","0","0","","0","0","","0","","","","",""
"Adil Albrecht","","1","1","0","0","","1","0","","0","","","","",""
"Adrockers","","1","0","0","0","","0","0","","0","","","","",""
"AdRockers","","0","0","0","0","","0","0","","0","","","","",""
"AdTail","","0","3","0","4","","1","0","","0","","","","",""
"Aerosleep","","1","0","0","0","","0","0","","0","","","","",""
"AES Sul","","1","1","0","0","","1","1","","0","","","","",""
"Affero Lab","Educação","0","0","3","0","anunciante","0","0","São Paulo","0","R$ 100 a 999 Mil","São Paulo","agência","Médio",""
"Africa (SP)","","0","1","0","1","","0","0","","0","","","","",""
"AFUBRA","","0","1","0","0","","0","0","","0","","","","",""
"AG2 (SP)","","0","2","0","1","","2","0","","0","","","","",""
"AGAS","","0","0","0","0","","0","0","","0","","","","",""
"AGCO","","1","0","0","0","","0","0","","0","","","","",""
"Agencia 110","","0","0","0","0","","0","0","","0","","","","",""
"Agência Azul","","0","0","0","0","","0","0","","0","","","","",""
"Agencia Beats","","1","1","0","0","","0","0","","0","","","","",""
"Agência Bistrô (RS)","","1","3","3","7","","10","0","","0","","","","",""
"Agência Contenido (PR)","","0","0","3","1","","0","0","","0","","","","",""
"Agência DOT (RS)","","0","1","1","4","","1","0","","0","","","","",""
"Agência Duplo","","0","0","1","0","","0","0","","0","","","","",""
"Agência Euphoria","","1","1","0","0","","1","0","","0","","","","",""
"Agência Euphoria","","0","0","0","0","","0","0","","0","","","","",""
"Agencia Familie","","0","1","0","1","","2","0","","0","","","","",""
"Agência Matriz (RS)","","0","6","2","17","","10","1","","0","","","","",""
